Dimension,Eigenvalue,%_variance,%_cumulative
Dim1,1.2143996102688717,30.18,30.18
Dim2,1.054404085536729,26.2,56.38
Dim3,0.920974780303864,22.89,79.27
Dim4,0.8341736196989227,20.73,100.0
