,Dim1,Dim2,Dim3,Dim4
when,-0.4426467061527546,0.4883823831083994,0.7183010685046498,0.22268838404047056
duration,0.6210494936360021,0.036086107036717274,0.5353105490351313,-0.5713474734564827
tempo,0.04138033254422302,0.8362885130181827,-0.4443533877576905,-0.3185266988191575
quality,0.6454836078980717,0.2465805420995992,0.0060214504106938516,0.7228503927699754
